step,skin_area,pigment_count,yellow_count,red_count,black_count,nnd_mean,nnd_std,nnd_cv
62,2035,49,29,3,17,4.753713082411493,0.7393986669852314,0.1555412903906243
63,2078,49,29,1,19,4.8046605995117275,0.747323109537203,0.1555412903906249
64,2124,50,30,0,20,4.860963564653467,0.748630153141546,0.1540085917502163
65,2170,51,31,0,20,4.8900798440454825,0.7555191251274124,0.1545003658881425
66,2235,51,28,3,20,4.940356186492885,0.7632868384310555,0.1545003658881429
67,2275,53,27,6,20,4.808967937999763,0.9508558231001237,0.19772554846673066
68,2330,53,27,6,20,4.8570860726975065,0.9603700076744329,0.19772554846673104
69,2380,55,29,3,23,4.859718484499801,0.9032477958655363,0.18586422212444667
70,2426,57,31,0,26,4.8345660362936265,0.9573667271042897,0.19802536978852556
71,2464,58,31,1,26,4.7786203014598945,1.0043570501589933,0.21017720320904063
72,2513,58,29,3,26,4.823961373211356,1.013886709810218,0.21017720320904104
73,2566,61,31,4,26,4.674516713056532,1.0377296349804808,0.22199720285131194
74,2622,64,34,3,27,4.5160715770439115,1.093921928019908,0.24222865146342853
75,2680,65,33,3,29,4.549036582310443,1.097148290550744,0.2411825604605853
76,2734,69,36,3,30,4.448825252966732,1.083253245454879,0.24349197459087882
77,2791,72,37,5,30,4.3957222878712265,0.9922756229451588,0.22573664985225333
78,2845,72,37,3,32,4.4343351183578825,1.0009919539405314,0.22573664985225378
79,2890,73,38,2,33,4.427165484688661,1.0203310617417938,0.23047050426969024
80,2938,74,37,2,35,4.446554273254768,1.0173283082534121,0.22879025999350372
81,2992,74,36,3,35,4.484172997455961,1.0259351059440294,0.22879025999350422
