step,skin_area,pigment_count,yellow_count,red_count,black_count,nnd_mean,nnd_std,nnd_cv
62,2035,49,28,1,20,4.746149710486927,0.7222617770564908,0.15217846488501072
63,2078,49,27,2,20,4.797016167789529,0.730002556442942,0.1521784648850112
64,2124,50,28,1,21,4.8056207304696406,0.7287168279233066,0.1516384394013423
65,2170,52,30,1,21,4.718616162499812,0.7839785238343054,0.16614585650442182
66,2235,52,29,1,22,4.767129636641255,0.7920388365475418,0.16614585650442207
67,2275,54,31,1,22,4.712873032127739,0.8283429002588736,0.1757617688004471
68,2330,57,34,1,22,4.592841978636688,0.9613882441280043,0.20932317040290763
69,2380,59,35,1,23,4.594959461577609,0.9205357844626435,0.2003359969026563
70,2426,61,33,5,23,4.636797332089327,0.8828028030867683,0.19039063816248133
71,2464,63,35,5,23,4.548902089530757,0.9097885360558462,0.20000178463931187
72,2513,64,35,5,24,4.593828412115613,0.9113251580271787,0.1983803216557852
73,2566,65,35,2,28,4.63353212909714,0.9065345910938882,0.1956465533930233
74,2622,67,37,2,28,4.6784803951241845,0.9057774719847055,0.19360505879825732
75,2680,68,34,5,29,4.679180370295121,0.9086911737905476,0.19419879164287082
76,2734,69,34,5,30,4.670343996293666,0.9341914013699932,0.2000262511950206
77,2791,71,36,5,30,4.64846079814616,0.9120336143225749,0.19620120593167192
78,2845,72,35,3,34,4.668374361705343,0.9055198770728946,0.19396899368239975
79,2890,72,35,2,35,4.708869082733624,0.9133745973602014,0.1939689936824001
80,2938,72,35,2,35,4.749206627441775,0.9211988303148614,0.1939689936824003
81,2992,75,37,1,37,4.725228234932647,0.8924748914062922,0.1888744515679092
