seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,3.0,4.0,117,0.15678108395616033,179,0.3407821229050279,0.01675977653631285,0.6424581005586593,2.2969389253517316
17,3.0,4.0,119,0.15452743517383133,185,0.31891891891891894,0.03783783783783784,0.6432432432432432,2.038653154489868
27,3.0,4.0,116,0.16003308593292462,170,0.3058823529411765,0.03529411764705882,0.6588235294117647,1.7814372488132317
7,3.0,5.0,118,0.16218218835831105,184,0.33152173913043476,0.005434782608695652,0.6630434782608695,2.7226544906084347
17,3.0,5.0,115,0.17129125812157575,179,0.3407821229050279,0.01675977653631285,0.6424581005586593,2.1891631258861084
27,3.0,5.0,119,0.16445505606710525,178,0.29213483146067415,0.028089887640449437,0.6797752808988764,2.0771668800950165
7,3.0,6.0,119,0.1524637564752228,184,0.32608695652173914,0.021739130434782608,0.6521739130434783,2.395282003271063
17,3.0,6.0,115,0.14600582045798355,176,0.3409090909090909,0.011363636363636364,0.6477272727272727,2.6321466312940025
27,3.0,6.0,115,0.16465074324267484,165,0.32727272727272727,0.024242424242424242,0.6484848484848484,1.7801427898952928
7,3.0,7.0,115,0.18758477645699617,161,0.3105590062111801,0.012422360248447204,0.6770186335403726,1.7075573868744276
17,3.0,7.0,116,0.1658019505274577,165,0.32727272727272727,0.012121212121212121,0.6606060606060606,1.9904517267946558
27,3.0,7.0,118,0.15743269635872253,169,0.3076923076923077,0.03550295857988166,0.6568047337278107,1.718428574618847
7,3.5,3.0,119,0.14292172006797527,165,0.2909090909090909,0.04242424242424243,0.6666666666666666,1.6565961890295586
17,3.5,3.0,119,0.13407071874940782,173,0.31213872832369943,0.03468208092485549,0.653179190751445,2.1166179192259666
27,3.5,3.0,119,0.13970761756005304,176,0.3409090909090909,0.03977272727272727,0.6193181818181818,1.8791064595036675
7,3.5,4.0,119,0.1385471407780854,171,0.3216374269005848,0.023391812865497075,0.6549707602339181,2.1944560318999726
17,3.5,4.0,116,0.13829971622332474,167,0.33532934131736525,0.005988023952095809,0.6586826347305389,2.598860194210005
27,3.5,4.0,118,0.1448529393120002,173,0.30057803468208094,0.028901734104046242,0.6705202312138728,2.1659045322183106
7,3.5,5.0,119,0.12801634148069602,178,0.30337078651685395,0.033707865168539325,0.6629213483146067,2.4060968939327596
17,3.5,5.0,119,0.13069727706290518,178,0.3202247191011236,0.0449438202247191,0.6348314606741573,2.0259355960136114
27,3.5,5.0,112,0.1371621163619411,155,0.3161290322580645,0.01935483870967742,0.6645161290322581,2.0982854677005145
