seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,3.5,4.0,119,0.13229081006264407,175,0.32571428571428573,0.04,0.6342857142857142,2.041082428553206
17,3.5,4.0,119,0.12315316179739538,177,0.3389830508474576,0.03954802259887006,0.6214689265536724,2.2388303514507
27,3.5,4.0,119,0.13192320443546038,176,0.29545454545454547,0.045454545454545456,0.6590909090909091,2.0971523622121153
7,3.5,5.0,119,0.13565467196810313,180,0.3333333333333333,0.044444444444444446,0.6222222222222222,1.989044677697008
17,3.5,5.0,119,0.12205069153228776,184,0.34782608695652173,0.059782608695652176,0.592391304347826,1.90913986623004
27,3.5,5.0,119,0.1328525776300665,178,0.30337078651685395,0.06179775280898876,0.6348314606741573,1.7409151198037554
7,3.5,6.0,119,0.13275819105365763,178,0.3258426966292135,0.016853932584269662,0.6573033707865169,2.7742562195045597
17,3.5,6.0,119,0.1307218555580145,173,0.3063583815028902,0.05202312138728324,0.6416184971098265,1.8404080352254453
27,3.5,6.0,119,0.1256439282093042,171,0.27485380116959063,0.04678362573099415,0.6783625730994152,2.1009457126685076
7,3.5,7.0,119,0.14841673353198556,162,0.2777777777777778,0.030864197530864196,0.691358024691358,1.824153261201198
17,3.5,7.0,119,0.1449535394239039,163,0.294478527607362,0.049079754601226995,0.656441717791411,1.5147433053409478
27,3.5,7.0,119,0.13656153461339274,166,0.2891566265060241,0.05421686746987952,0.6566265060240963,1.6045339094343403
7,4.0,3.0,119,0.11472859614604462,158,0.3291139240506329,0.0379746835443038,0.6329113924050633,1.8496281608476208
17,4.0,3.0,119,0.11693139006783987,159,0.3584905660377358,0.012578616352201259,0.6289308176100629,2.383129667008068
27,4.0,3.0,119,0.1181194321998452,157,0.3057324840764331,0.050955414012738856,0.643312101910828,1.6175997969949798
7,4.0,4.0,119,0.1072848335430171,163,0.3067484662576687,0.03067484662576687,0.6625766871165644,2.4377214923109642
17,4.0,4.0,119,0.11049178293281978,167,0.3532934131736527,0.03592814371257485,0.6107784431137725,2.1955340788872464
27,4.0,4.0,119,0.10521511852766716,166,0.3373493975903614,0.05421686746987952,0.608433734939759,1.8943592727019347
7,4.0,5.0,119,0.12229715928640694,165,0.3090909090909091,0.03636363636363636,0.6545454545454545,2.0559051033177056
17,4.0,5.0,119,0.11477367535334226,167,0.3413173652694611,0.029940119760479042,0.6287425149700598,2.3235547239650085
27,4.0,5.0,119,0.11667219760410448,169,0.33727810650887574,0.03550295857988166,0.6272189349112426,2.2267222601900776
7,4.0,6.0,119,0.1100461873359119,164,0.31097560975609756,0.024390243902439025,0.6646341463414634,2.5766381565695577
17,4.0,6.0,119,0.11007200676579816,162,0.32098765432098764,0.037037037037037035,0.6419753086419753,2.1481124752522462
27,4.0,6.0,119,0.11873132182156837,167,0.3413173652694611,0.029940119760479042,0.6287425149700598,2.249267042005221
7,4.0,7.0,119,0.12029100204424732,158,0.310126582278481,0.04430379746835443,0.6455696202531646,1.6999089893924464
17,4.0,7.0,119,0.12726999770794858,159,0.3081761006289308,0.03773584905660377,0.6540880503144654,1.7993449299860074
27,4.0,7.0,119,0.11791870014766244,154,0.2922077922077922,0.05194805194805195,0.6558441558441559,1.5618584617148792
